Anime,Genre,Description,Studio,Year,Rating
Kashimashi: Girl Meets Girl,"['Comedy', 'Drama', 'Girls Love', 'Romance', 'Slice of Life']","Hazumu was a shy boy who enjoyed gardening, collecting herbs, and long walks in the mountains. One day he finally worked up the courage to confess his love to Yasuna, but she rejected him. 

Depressed, he wandered up Mt. Kashimayama, the place where they first met, to reconsider his feelings. After getting lost, he wished upon a shooting star and received a bizarre twist of fate. 

Now he is a she, and she stumbles headfirst back into social life and relationships only to find that the entire landscape has changed!

(Source: Media Blasters)",Studio Hibari,"Jan 12, 2006",
Magikano,"['Comedy', 'Fantasy', 'Romance']","Ayumi Mamiya is a witch cursed to lose her powers and only one boy can break the spell. Haruo Yoshikawa thinks he is a normal boy but unknown to him his three sisters have magical powers and keep him protected and ignorant about the existence of magic. Now Ayumi must wake up Haruo's latent powers to save herself but his sisters will have none of that.

(Source: ANN)",Tokyo Kids,"Jan 1, 2006",
Kage kara Mamoru!,"['Comedy', 'Romance']","Kagemori Mamoru is a dowdy boy whose hair is disheveled and who wears thick glasses, but he is actually the son of a ninja family. They have protected their neighbors, the Konnyaku family, secretly for 400 years. Mamoru has personally protected their daughter, Konnyaku Yuuna, since they were in kindergarten. When Yuuna is in trouble, Mamoru puts on ninja suit and turns into a competent ninja to help her.",Group TAC,"Jan 8, 2006",
Yomigaeru Sora: Rescue Wings,Drama,"Kazuhiro Uchida is transferred to a rescue centre located in a small town while training to become a fighter pilot. Initially, Kazuhiro thinks negatively about his new occupation, due to the difficult missions and the harsh discipline he receives from his seniors. However, over the course of his training, he begins to accept the job for what it is and becomes a true member of the rescue force.

(Source: ANN)",J.C.Staff,"Jan 9, 2006",
Futari wa Precure: Splash☆Star,"['Action', 'Comedy', 'Fantasy']","During the summer festival five years ago, two girls met at a mysterious tree and saw two glowing spheres. Now, these two girls--Saki Hyuuga, ace pitcher on the school softball team; and Mai Mishou, who prefers sketching over stargazing--are chosen by the spirits of flowers (Flappy) and birds (Choppy) to restore the Seven Fountains and save their worlds from Dark Autumn. Together, they are the NEW Pretty Cure.

(Source: ANN)",Toei Animation,"Feb 5, 2006",
Binchou-tan,"['Comedy', 'Slice of Life']","This is a story about a little girl who lives in an old house in the mountains. Her name is Bincho-tan. Each episode depicts a day in the life of Bincho-tan as she prepares her breakfast in the morning, goes to the forest to gather vegetables, does her household chores and rests at night after a day's work. She is surrounded by a group of close friends who add color to her ordinary yet simple life. ",Studio Deen,"Feb 2, 2006",
Tactical Roar,"['Comedy', 'Romance', 'Sci-Fi']","In the near future the world's climate shifted creating in the Western Pacific a perpetual super cyclone: the Grand Roar that altered the earth, flooding most countries. Shipping and navigation became important to nations and following the appearance of ocean pirates, necessisated companies to hire escort cruisers to safeguard their investments. Hyousuke Nagimiya is a system engineer that was comissioned to upgrade the Pascal Magi manned by an entire crew of women with its captain, Misaki Nanaha. Together the crew strives to prove themselves to their detractors that they are no mere 'Alice Brand'. Yet as they go about their mission a larger global conspiracy seems to be working behind the scenes to take advantage of this new world order.

(Source: ANN)",Actas,"Jan 8, 2006",
Nerima Daikon Brothers,Comedy,"In the town of Nerima, the boisterous Hideki and his stoic brother Ichiro run a daikon radish farm along with Mako, their bubbly but vain cousin. The three dream of raising the money needed to build their own concert hall, where their band—Nerima Daikon Brothers—would perform and hopefully rise to stardom. But their farm and Ichiro's host club job aren't raising money fast enough for their liking, leading them to resort to get-rich-quick schemes.

Their plans usually involve tracking down evil-doers and then stealing their ill-gotten gains. Yet, while they usually do put a stop to the villains, they always end the day no richer than before. However, neither these failures nor interference from the policewoman Yukika Karakuri can come between this trio and their dream! With help from gadgets provided by the rental shop owner Nabeshin, the Nerima Daikon Brothers get themselves into and out of all kinds of ridiculous situations through their boisterous singing and comedy.

[Written by MAL Rewrite]
",Studio Hibari,"Jan 9, 2006",
Kagi Hime Monogatari: Eikyuu Alice Rondo,Fantasy,"Average high school student Aruto Kirihara is obsessed with the Alice stories, written in this alternate world by the enigmatic recluse, Alternite L. Tachyon. One night, while writing his own version of a potential ""third book,"" he sees a girl flying in front of a full moon... and she looks just like the ""Alice"" in his imagination. Aruto runs out of his house and chases the flying figure from the ground, ending up at a library, where he witnesses her in combat with another costumed girl.

And so begins his sudden introduction to the world of Alices, an elite club of super-powered teenage girls who regularly fight in an extra-dimensional Wonderland in order to steal each other's ""hidden stories."" When all of the stories have been gathered, they will form the legendary third volume, ""Eternal Alice,"" and the possessor will be granted one wish.

It probably won't be Aruto, who can't turn into a magical girl. But it could be his doting little sister, Kiraha. Or maybe the girl of his dreams, Arisu...

(Source: Discotek Media)",Picture Magic,"Jan 4, 2006",
Lemon Angel Project,Drama,"Lemon Angel was once the greatest girl band of Japan, but then it broke up and most of its members vanished. When a music producer decides to put together a new Lemon Angel, average high schooler Tomo Minaguchi is approached to audition for the group. Little does she know of the mystery behind the original Lemon Angel...

(Source: ANN)
",Radix,"Jan 6, 2006",
Ginyuu Mokushiroku Meine Liebe Wieder,"['Drama', 'Fantasy']","The Strahl candidates are enjoying a brief holiday in their various homes. However, many surprises await them when they finally come back to their elite boarding school: Rosenstolz Academy. There is a new headmaster, and his policies are not necessarily to the advantage of the main characters. 

(Source: Wikipedia)",Bee Train,"Jan 22, 2006",
Kinnikuman II Sei: Ultimate Muscle 2,"['Action', 'Comedy', 'Sci-Fi', 'Sports']","Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup.

(Source: ANN)",Toei Animation,"Jan 5, 2006",
Papillon Rose,"['Comedy', 'Ecchi']","The story takes place one year after the OVA.

Because of the previous war, Kabucki-cho was devastated, and the owner abandoned his lingerie pub, ""Pallion,"" and opened ""New Papillion"" in Akihabara. During the war, Tsubomi, and her colleagues Anne and Shizuku lost their memories, and they began new lives in Akihabara.

On the other hand, the Susano, aliens who were invading the Earth, appeared. They turned a UMA (Unidentified Mysterious Animal) into a monster and make it raid on Akihabara. Rama the cat made Tsubomi and her buddies retrieve their memories, and let them fight against the monster as Lingerie Soldiers.

(Source: AnimeNfo)",Studio Kelmadick,"Feb 9, 2006",
Youkai Ningen Bem (2006),"['Horror', 'Supernatural']","The plot of the series revolves around three youkai, Bem, Bera and Barro, who arrive at a large coastal city and come across an evil atmosphere, which was brought about by immoral behavior by humans and mischief caused by monsters and youkai. They therefore decide to stay in the city, fighting against other monsters and yōkai which attack humans, making a few friends in the way. Even though the three youkai are often abused by other human beings due to their appearance, they still strive in protecting the human populace of the city from other monsters, one day hoping to become human beings in return for their good actions.",Studio Comet,"Jan 4, 2006",
Rakugo Tennyo Oyui,Comedy,"Six girls including Tsukishima Yui were summoned into the end of Edo period by the power of mystic stones. They became celestial nymphs to protect cities from evils. Each girl obtained her own power. The power Yui obtained was ""word"". She would fight against evils by her ""words"" that gave people hope.

(Source: AnimeNfo)

",TNK,"Jan 5, 2006",
Funny Pets,Comedy,"One day an armada of Unidentified Flying Objects (UFO) came out of nowhere under the full moon.

One of them mistakenly fell to the Earth.

The two Extra-Terrestrials, Crescent and Corona, who were on board the falling UFO, happened to be saved and picked up by an Earth girl Funny. In reality Crescent and Corona were forced to live as pet with that selfish and moody girl Funny...

(Source: AniDB)",,"Jan 11, 2006",
Play Ball 2nd,"['Action', 'Sports']",A continuation of the Play Ball TV series.,Eiken,"Jan 10, 2006",
Xingji Biaoche Wang,"['Action', 'Adventure']","Set in the future on the Yellow River Planet, the realm of car racing has advanced beyond Formula One   -   into the domain of the Galaxy Racers. Riders steer their simulator-racers which remotely control the actual customized speedsters hurtling around a track.

The hero, a teenager named Roy, was born to race and aspires to be the King of Galaxy Racers. But his guardian, his grandfather, sees a threat from and great danger in the evil and greedy Taz, the CEO of the Titan Space Navigation Auto Group which seeks to swallow or destroy all competitors, and whose Mosha Racing Team would just as ruthlessly run over and crush Roy under its thundering wheels. He arranges for him to join the good guys in the Matela Racing Team to race for the highest honors.

Many years ago, Ray’s father, Dr Renault, worked for the Titan Group and he invented the Galaxy Racers but he was against CEO Taz’s destructive greed. He tries to escape   -   and disappears! Monopolizing the technology and construction of the Racers, Taz, the Titan Group and Mosha Racing Team swallowed, crushed and beat all rival companies, racers and teams.

Desperately, Ray’s grandfather uses a secret design hidden by Dr Renault from Taz and builds for him a superior racer, The Lion King. But he has first to learn the skills and garner experience from racing at the highest levels. To acquire these qualities plus humility and resilience, he relies on his Matela friends who have their own cool cars, to help him. But arrayed against them are the Mosha baddies and their menacing machines.

In a series of hair-raising and nail-biting races with thrills & spills, growling engines, screeching wheels, burning rubber, smashing metal against metal, intense bitter rivalry, persevering friendships & loyalties forged in grueling teamwork and battle, Ray and Team Matela must conquer their fears and overcome the arrogant and powerful Team Mosha which uses cheating as a winning strategy.

Will justice prevail or evil triumph? Find out on The Galaxy Racers on a track near you!

(Source: CHINAnimax)",Racing,"Feb 1, 2006",
Meng Li Ren,Drama,(No synopsis yet.),,"Dec 12, 2005",
Mushishi,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.

This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.

So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.

Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.

It could, after all, lead to the meaning of life itself.

[Written by MAL Rewrite]",Artland,"Oct 23, 2005",8.67
Shakugan no Shana,"['Action', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","The world has become a slaughtering ground for the Crimson Denizens, mysterious beings from a parallel universe who thrive on the life energy of humans. These merciless murderers only leave behind scant remainders of souls called ""Torches,"" which are mere residues that will eventually be destroyed, along with the very fact of the victims' existence from the minds of the living. In an ambitious endeavor to put an end to this invisible, hungry massacre, warriors called Flame Hazes relentlessly fight these monsters.

One fateful day, Yuuji Sakai ceases to be a regular high schooler—he becomes trapped in a crevice of time and is suddenly attacked by a Denizen. Coming to his rescue just in the nick of time is a nameless hunter who seems no different from an ordinary young girl except for her blazing eyes and burning crimson hair. However, before Yuuji can learn anything more about his situation, he discovers that he has already been reduced to a Torch—merely a scrap of memory waiting to be extinguished.

[Written by MAL Rewrite]",J.C.Staff,"Oct 6, 2005",
Blood+,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']","Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year.

However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. 

Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past.

[Written by MAL Rewrite]",Production I.G,"Oct 8, 2005",
Jigoku Shoujo,"['Horror', 'Mystery', 'Supernatural']","It is said that if someone seeks revenge, they should dig two graves—and this is especially true of those who use the Hell Correspondence website. At the stroke of midnight, this ominous web domain becomes accessible, and whoever inputs the name of their grudge will get a visit from Ai Enma, the Hell Girl. Ai explains that she will send the target's soul to hell, but the requester will also end up in hell when they die.

For some, that price is far too steep; for others, where they will spend their afterlife has no bearing on their current, day-to-day hell. But one thing is certain: the Hell Girl will always be available to those in need of revenge, while she stoically performs her duty of ferrying souls into the darkness.

[Written by MAL Rewrite]
",Studio Deen,"Oct 5, 2005",
Black Cat (TV),"['Adventure', 'Comedy', 'Sci-Fi']","Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos.

One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck.

This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.

[Written by MAL Rewrite]",Gonzo,"Oct 7, 2005",
Karin,"['Comedy', 'Romance', 'Supernatural']","Vampires—supernatural beings that feed on the life essence of the unsuspecting at night—have been around for centuries. However, high schooler Karin Maaka is unusual, even among her own kind. Unlike her vampire family, ever since she was a child, Karin has suffered from polycythemia: a rare disorder which causes her to periodically produce excessive amounts of blood. And the more blood she produces, the more anemic and lightheaded she gets, ultimately leading to frequent nosebleeds.

Her only solution? Force her excess blood onto random strangers, which surprisingly causes these ""victims"" to become livelier and happier than before. With her siblings—Anju, her reserved yet affectionate younger sister, and Ren, her womanizing elder brother—helping her abilities remain a secret by altering the affected humans' memories, no one is the wiser. That is, until Karin's newly transferred classmate, Kenta Usui, finds her behavior suspicious. And to make matters even more complicated, Karin feels her blood reacting unusually to Kenta's presence.

[Written by MAL Rewrite]",J.C.Staff,"Nov 3, 2005",
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,Suspense,"While mahjong is a game that is often played with family and friends, it is also a game that is played in the darkest corners of society. Nangou is a compulsive gambler who has accumulated debt over three million yen. In a last ditch attempt to clear his record, he decides to wager his life on a game of mahjong with the mafia. Unfortunately, as the game progresses, Nangou only moves further from the prize and closer to death.

When all hope seems lost, the game parlor is suddenly intruded upon by Shigeru Akagi, a young boy on the run from the police. Desperate to turn the game around, Nangou hands the game over to Akagi after teaching him a few of the rules. The mafia can only smirk as Akagi sits down to play. However, they soon come to learn that Akagi is a natural-born gambler. An imposing figure who does not fear death. One who is destined to become a legend.

[Written by MAL Rewrite]",Madhouse,"Oct 5, 2005",
Noein: Mou Hitori no Kimi e,"['Adventure', 'Drama', 'Sci-Fi', 'Slice of Life']","During their last summer of elementary school, four friends decide to undertake a test of courage at their local graveyard. Before the test begins, Haruka Kaminogi makes a last effort to pull Yuu Gotou away from his controlling mother. While doing so, Haruka suddenly has a strange vision of blue snow followed by the appearance of an imposing silver-haired man. Later, a similar vision occurs at the graveyard to both Haruka and her friends before they try to escape what they assume are ghosts.

Unbeknownst to the children, the people who appeared before them are Dragon Soldiers: an elite military group from a dimension known as La'cryma. The soldiers have traveled to this dimension to secure the ""Dragon Torque""—an entity they believe to be their last hope for survival.  However, both the Dragon Soldiers and Haruka are shocked to learn that the Dragon Torque is Haruka herself. She attempts to escape from the Dragon Soldiers as she finds her own last ray of hope—the strange silver-haired man who claims to be another version of Yuu himself.

[Written by MAL Rewrite]",Satelight,"Oct 12, 2005",
Mai-Otome,"['Comedy', 'Drama', 'Fantasy']","Arika Yumemiya has traveled far in search of her goal: the prestigious Gualderobe Academy. This is the school where young girls are trained to become Otomes, protectors of royal leaders throughout the lands. Here, Arika makes plenty of friends, but some enemies know something about her past that she does not. Nevertheless, her spirit and determination will keep pushing her forward.

Adapted from its predecessor, Mai-HiME, this series is not a direct sequel, but an alternate universe setting featuring some of the Mai-HiME cast (though with different personalities). 

(Source: ANN)",Sunrise,"Oct 7, 2005",
Solty Rei,"['Action', 'Sci-Fi']","In a future-based disaster-ridden city with an enormous gap between the rich and the poor, it is hard to tell which humans are walking around with cybernetic body parts. This makes Roy Revant's job as a renegade bounty hunter/bodyguard-for-hire even more difficult. When a young girl with unbeliveable strength rescues him from a particularly dangerous criminal, Roy realizes that perhaps help can be found in the strangest of places. Joining together with a few others, they engage in a battle to find out the truth behind the giant conglomerates that are supposedly serving mankind and making life better.

Solty, an android who has lost her memory, has escaped and is being hunted by the RUC Security Bureau. She encounters the bounty hunter Roy and he adopts her as his daughter after being hired as a bodygaurd for Miranda.

(Source: ANN)",AIC,"Oct 7, 2005",
Canvas 2: Niji-iro no Sketch,"['Comedy', 'Drama', 'Romance', 'Slice of Life']","Kamikura Hiroki is an art student at the local school Nadesico Academy (High School and college level) whom intends to be an art teacher in the future. He is also the advisor to the high school arts society where his cousin, Housen Elis, attends. While Elis is a painter like Hiroki, Hiroki seems to have given up on his dreams and no longer paints. There appears to be some mysterious trauma in the both of their pasts which may have changed them. Meanwhile, the high school hires a new PE teacher, Kikyo Kiri. On the first day, she bumps into Hiroki and is stunned. Here is the boy she confessed to and he refused her...

(Source: ANN)",Zexcs,"Oct 2, 2005",
Capeta,[],"After losing his mother at a very young age, elementary school student Capeta Taira is forced to become more independent to avoid his father worrying for him. Working in a paving company, his father is often busy and has to work overtime to make ends meet. However, no matter how tough he acts in front of his father, Capeta is ultimately just a lonely kid with a rough life. In addition to his typical house duties, he has to deal with the bully Nobu Andou which makes him feel worse, despite support from his classmate, Monami Suzuki.

One day, Capeta's father sees young go-kart drivers racing at high speeds and gets inspired by the scene. He then decides to collect scrapped parts available on the track and begins working on a gift for his son. Meanwhile, Capeta and Monami sneak into his workplace, suspecting that his father is up to something.  Much to their surprise, they see a go-kart built from discarded parts—with Capeta's name attached to it! Although it lacks an engine and looks worn out, the kart is mostly complete and functional.

Despite the heavy rain, Capeta cannot resist the urge to try out this new machinery. As he drives the kart downhill on a wet road, an incident that is almost a dangerous accident instead becomes a thrilling obsession. No longer bored with life, the engine of Capeta's heart is ignited with a new passion as he journeys into the world of racing. 

[Written by MAL Rewrite]",Studio Comet,"Oct 4, 2005",
Angel Heart,"['Action', 'Drama', 'Mystery', 'Romance']","A young Taiwanese assassin codenamed ""Glass Heart"" committed suicide by jumping off a building, and her heart was pierced by metal fence. Miraculously, her life was saved by heart transplantation. During her recovery she began to experience strange dreams, which lead her to Japan looking for the donor of her heart, who happens to be Kaori Makimura, former partner of City Hunter Ryo Saeba.

The author mentioned in the first tankoubon volume that Angel Heart only shares the same characters of City Hunter but not its continuation. The events are all parallel universe, therefore it has nothing to do with City Hunter. (Source: Wikipedia)",TMS Entertainment,"Oct 4, 2005",
Idaten Jump,Sports,"Sho liked MTB very much and he always practiced at the practice field, “X-Zone”, with his friends, Takumi and Makoto. Takumi was a good mechanic and Makoto was a competitive girl rider. 

One day, he was challenged by a MTB team, “Shark Tooth”, of Samejima brothers’ betting the X-Zone. For Sho, X-Zone was a memorable place where he had spent days with his dead father, and he couldn’t lose the game. 

The day came, and during the race with the leader of Shark Tooth, black smoke suddenly covered around, and they were sent to another world. When he came to, he found Kakeru, Makoto, and his MTB, “Flame Caesar”, were also there. 

While they were wondering what had happened, MTB riders came. 
They challenged Sho to a MTB bout. They said Sho had to collect 10 pieces of emblems by winning MTB bout, “Idaten Battle”. 

This is how Sho came down to compete in Idaten Battle at various courses, such as, volcanos, ruins, deserts, snowy montains, and grave yards. 
Whether will show win the race to come back to his world? 
",Trans Arts,"Oct 1, 2005",
Ginga Densetsu Weed,"['Adventure', 'Drama']","A dog named Weed happens to hear that he is the son of Gin, the great leader of Ohu who lead the dogs of Ohu to victory in a fight against monsterous bear, Akakabuto. Weed wants to find his father no matter what. On a journey to find his father Weed meets many friends and enemies. 

(Source: ANN)",Studio Deen,"Nov 3, 2005",
Cluster Edge,"['Action', 'Fantasy', 'Sci-Fi']","Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. 

(Source: Sentai Filmworks) ",Sunrise,"Oct 5, 2005",
Rockman.EXE Beast,"['Action', 'Adventure', 'Sci-Fi']","Trill, a mysterious navi said to have originated from the world of Beyondard, is discovered. And new beast-type enemies, the Zoanoroids, want him for his special power. Netto Hikari and Rockman must protect their new friend while they try to figure out what Trill is really and his connection to the two legendary cyber beasts, Grega and Faltzer. 

(Source: ANN)",Xebec,"Oct 1, 2005",
Bouken Ou Beet Excellion,"['Adventure', 'Fantasy', 'Supernatural']","It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. 
",Toei Animation,"Oct 6, 2005",
Kakutou Bijin Wulong,"['Action', 'Ecchi']","At first glance, Mao Ran is a normal cute girl, but she is a master of a martial arts handed down by Mao family. One day, she is tricked by her grandfather, and forced to take part in the fighting match, ""Prime Mat"". First, she is reluctant to fight, but fighting against the rivals, she is gradually fascinated by the ""fighting"".

(Source: AnimeNfo)",TMS Entertainment,"Oct 10, 2005",
Gaiking: Legend of Daiku-Maryu,"['Action', 'Sci-Fi']","A boy, Tsuwabaki Daiya found a black fire in an ocean when he and his father were in a small boat. A big monster came out of the fire, and the father and the crews were disappeared into the sea. When he was about to become the next victim, a large mecka dragon appeared and saved him.

5 years later since then, Daiya becomes a junior high school student. A big monster reappear, and he meets the mecha dragon,""Daiku Maryu"". The head of the dragon separates from the body, and it turns into the body of a super robot, Gaiking. He gets in Gaiking, fights against the monster, and beats it.

He learns that there is an enemy that plots to conquer the world, and he leaves for another world, Darius, to stop the plot. 

(Source: AnimeNfo)",Toei Animation,"Nov 12, 2005",
Gunparade Orchestra,"['Drama', 'Romance', 'Sci-Fi', 'Slice of Life']","The story focuses and revolves around the 108th Guard Squad, stationed in Aomori. A poorly equipped unit with very little military standing, it is often viewed as a 'reject camp' for pilots not making the grade for the elite units based in Hokkaido. The apparent helpless nature of this force is hardly a deterrent for the encroaching enemy armies, ever closing in on both the 108th and the rest of the empire. The young pilots of the 108th, who had dreamed on returning home, are plunged forcefully and unwillingly into a war. 

(Source: ANN)",Brain's Base,"Oct 4, 2005",
Dae Jang Geum: Jang Geum's Dream,"['Adventure', 'Comedy', 'Gourmet']","Story is about the girl Jang Geum who wants to be a cook. She gets accepted as a palace servant. Clever and cheerful Jang Geum quickly finds friends. But all to soon she encounters intrigue and corruption. 

A Korean/Japanese joint production.",Historical,"Oct 29, 2005",
Animal Yokochou,"['Adventure', 'Comedy', 'Fantasy']","On the first day her family moved to their new house, 5-year-old Ami-chan made friends with three talking animals who came out of a door in her bedroom floor, which she finds out leads to Animal Yokocho, another world. The three are Issa, an overly innocent, soft-spoken panda, Kenta, a highly strung, red-scarf-loving bear who puts on an almost constant tough-guy act, and Iyo, a rabbit who usually holds her own well-being and enjoyment over the happiness (and safety) of her friends. Even at only 5 years old, Ami-chan is easily the most rational of the group, and she's a little wary at first, but she eventually comes around and starts spending her free time with them. A typical day involves Ami-chan and the three doing different things to pass the time, often playing a seemingly innocent game, but in AniYoko style. Unfortunately for Ami-chan, the AniYoko version usually turns out to be drastically different, much less logical, and usually more dangerous than the ordinary version.

(Source: ANN)",Gallop,"Oct 4, 2005",
Card Wang: Mix Master,"['Adventure', 'Fantasy']","Mix Masters is a Korea-Japan co-produced anime series, also known by the name Mix Master: King of Cards. It is a co-production by Nippon Animation of Japan and Sunwoo Entertainment and KBS of Korea. The story centers on the fantasy and adventure card game, Mix Master, and the transference of this game from a video game to the real world after a scientist's new invention goes terribly wrong. Creatures from the video game called henches run loose upon the real world and it is up to the Mix Master to stop those creatures from causing trouble. All the while, an evil leader from the video game, Prince Brad, causes trouble for them for some nefarious purpose.

(Source: Wikipedia)",Nippon Animation,"Oct 4, 2005",
Sukima no Kuni no Polta,Fantasy,"This is a story about a country of ""Sukima"", a tranquil country that is in between the worlds. 

Porta, the hero in this story leisurely delivers parcels for everyone in town, riding on Robaroba, his partner. 

Will Porta be able to deliver important parcels safely? Zouzou, Kabakaba and variety of other characters are expected to be in the story. 

This is the first original animation of Ryoji Arai, the winner of Astrid Lindgren Award.
",,"Sep 15, 2005",
Zero no Tsukaima,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates.

When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr.

Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests.

[Written by MAL Rewrite]",J.C.Staff,"Jul 3, 2006",
NHK ni Youkoso!,"['Comedy', 'Drama', 'Romance']","Twenty-two-year-old college dropout Tatsuhiro Satou has been a hikikomori for almost four years now. In his isolation, he has come to believe in many obscure conspiracy theories, but there is one in particular which he holds unshakable faith in: the theory that the evil conspirator behind his shut-in NEET (Not in Employment, Education or Training) status is the Nihon Hikikomori Kyokai (NHK)—an evil and secret organization dedicated to fostering the spread of hikikomori culture.

NHK ni Youkoso! is a psychological dramedy that follows Tatsuhiro as he strives to escape from the NHK's wicked machinations and the disease of self-wrought isolation, while struggling to even just leave his apartment and find a job. His unexpected encounter with the mysterious Misaki Nakahara might signal a reversal of fortune for Tatsuhiro, but with this meeting comes the inevitable cost of having to face his greatest fear—society.

[Written by MAL Rewrite]",Gonzo,"Jul 10, 2006",8.32
Bokura ga Ita,"['Drama', 'Romance', 'Slice of Life']","Going into her first year of high school, Nanami Takahashi is filled with the hope of making many new friends. After meeting the shy Yuri Yamamoto, she hears about a popular boy in their class: Yano Motoharu. Yuri cares little for Yano because of his past relationship with her older sister Nana, and at first, Nanami doesn't like his attitude either. However, Nanami soon begins to warm up to Yano and takes a liking to him. The two spend more of their time together and eventually decide to start dating. But their love is not without challenges; Yano has trouble opening up to Nanami, since his first girlfriend, Nana, died in a car accident the year before, and she had been with one of her ex-boyfriends at the time.

Finding themselves living in the shadow of Yano's relationship with Nana, Nanami and Yano struggle to keep their relationship afloat amid misunderstandings and heartache with the certainty of their love for each other.

[Written by MAL Rewrite]",Artland,"Jul 4, 2006",
Hachimitsu to Clover II,"['Drama', 'Romance', 'Slice of Life']","Back from his journey across Japan, Yuuta Takemoto reminisces about his college life so far. He has matured significantly since his second year and is motivated to move forward.

Feeling more confident than ever before, he finally confesses to Hagumi Hanamoto, the girl he has been in love with since their first encounter. However, Hagumi has been confused by her attempts to understand the mysterious Shinobu Morita. Hiding behind a playful demeanor, Morita may be the most burdened by his own potential. Meanwhile, Takumi Mayama has become a full-fledged working adult and has landed Ayumi Yamada several pottery orders through his company in an act of friendship.

The five youths continue to face individual hardships in academics, work, love, and friendship as they push each other toward the paths that they are destined to walk.

[Written by MAL Rewrite]",J.C.Staff,"Jun 30, 2006",8.22
